start,end,passage,attn_check_1_q,attn_check_1_a,log_odds_1,correct_prob_q1,distractor_q1,attn_check_2_q,attn_check_2_a,log_odds_2,correct_prob_q2,distractor_q2,attn_check_3_q,attn_check_3_a,log_odds_3,correct_prob_q3,distractor_q3,attn_check_4_q,attn_check_4_a,log_odds_4,correct_prob_q4,distractor_q4,model_path,model_shorthand,stage,ingredient,step,tokens_seen
box,basket,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.","At the start of the story, Sean put the book in the",box,4.789949427545861,7.499087951146066e-05,2.710753278734046e-06,"At the end of the story, the book was in the",basket,-1.4875672891540648,1.467322636017343e-05,4.114603507332504e-05,The person who put the book in the box was,Sean,-1.4482012604682692,5.232321564108133e-05,0.00014277311856858432,The person who moved the book to the basket was,Anna,1.8920623265964631,0.00013699200644623488,3.6908611946273595e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
cupboard,fridge,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.","At the start of the story, Mary put the jam in the",cupboard,1.3654788878868631,4.247728156769881e-06,1.6485670357724302e-06,"At the end of the story, the jam was in the",fridge,1.9111317807502195,4.433612502907636e-06,1.1788260962930508e-06,The person who put the jam in the cupboard was,Mary,-0.8209088846947107,2.794656938931439e-05,4.936813274980523e-05,The person who moved the jam to the fridge was,James,-0.05024779864149034,4.500149952946231e-05,4.6596476749982685e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
sink,basket,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.","At the start of the story, Cameron put the shirt in the",sink,-0.8644536971240812,1.2428315130819101e-05,2.2627613361692056e-05,"At the end of the story, the shirt was in the",basket,3.0562665719596995,2.680415491340682e-05,3.2223611015069764e-06,The person who put the shirt in the sink was,Cameron,0.26976798887939535,2.22268613470078e-06,1.8436135178490076e-06,The person who moved the shirt to the basket was,Helen,-0.2987379298070788,2.195063188992208e-06,2.7000767204299336e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
shed,garage,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.","At the start of the story, Paula put the football in the",shed,5.936246609118585,1.9958612028858624e-05,3.259432901359105e-07,"At the end of the story, the football was in the",garage,-0.5446593614675246,1.100334065995412e-05,1.605030774953775e-05,The person who put the football in the shed was,Paula,-4.312441549892432,2.420644932499272e-06,4.809560050489381e-05,The person who moved the football to the garage was,Tim,3.6711375642152535,4.374162381282076e-05,3.4337792840233305e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
hall,study,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.","At the start of the story, Ed put the keys in the",hall,3.022442315566301,9.664502431405708e-05,1.1894157978531439e-05,"At the end of the story, the keys were in the",study,2.038403062563867,9.822446736507118e-05,2.391108137089759e-05,The person who put the keys in the hall was,Ed,-2.330327822087057,5.272245289233979e-06,2.6515155695960857e-05,The person who moved the keys to the study was,Seana,1.4425932364909984,3.542922786436975e-05,1.3034604307904374e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
drawer,cabinet,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.","At the start of the story, Laura put the stapler in the",drawer,6.279723684628803,2.4813278287183493e-05,3.1937355515765375e-07,"At the end of the story, the stapler was in the",cabinet,-5.045223884392717,4.5341772647589096e-07,1.4971393284213264e-05,The person who put the stapler in the drawer was,Laura,-1.7062812847135724,2.0051847968716174e-05,6.543291237903759e-05,The person who moved the stapler to the cabinet was,Ross,2.2035862447907903,5.7629746152088046e-05,1.2511262866610195e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
garage,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.","At the start of the story, David put the wine in the",garage,3.179246501033052,1.5111972061276902e-05,1.668293975853885e-06,"At the end of the story, the wine was in the",fridge,-2.86771718178823,2.1042242224211805e-06,1.5358928067144006e-05,The person who put the wine in the garage was,David,5.194669966457199,7.803109838278033e-06,2.1306702535639488e-07,The person who moved the wine to the fridge was,Marta,-5.312381512747791,2.2492928053452488e-07,8.937831807998009e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
hall,bedroom,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.","At the start of the story, Sarah put the painting in the",hall,9.586018543205627,4.558753062156029e-05,5.9315329536957506e-08,"At the end of the story, the painting was in the",bedroom,-0.8761388049947327,1.272804456675658e-05,2.336177021788899e-05,The person who put the painting in the hall was,Sarah,0.6737125011017986,7.313215064641554e-06,4.584591806633398e-06,The person who moved the painting to the bedroom was,James,2.162332329097342,3.919511800631881e-05,8.755986527830828e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
cupboard,drawer,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.","At the start of the story, Lisa put the grater in the",cupboard,0.47918214460659087,2.899874743889086e-06,2.080324293274316e-06,"At the end of the story, the grater was in the",drawer,0.3740359891496046,5.233950560068479e-06,4.038625320390565e-06,The person who put the grater in the cupboard was,Lisa,-2.6059032015969192,6.71145016895025e-06,4.085746331838891e-05,The person who moved the grater to the drawer was,Robert,2.2399501059383433,4.621679909178056e-05,9.783802852325607e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
toolbox,van,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.","At the start of the story, John put the shovel in the",toolbox,3.264716450449751,2.454490095260553e-05,2.553781314418302e-06,"At the end of the story, the shovel was in the",van,0.7776079023161029,1.853308276622556e-05,1.0810962521645706e-05,The person who put the shovel in the toolbox was,John,0.5805019497044348,3.430177457630634e-05,2.29386623686878e-05,The person who moved the shovel to the van was,Karen,-0.2124578435483872,2.3913336917757988e-05,2.7707437766366638e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,195000,1636B
