start,end,passage,attn_check_1_q,attn_check_1_a,log_odds_1,correct_prob_q1,distractor_q1,attn_check_2_q,attn_check_2_a,log_odds_2,correct_prob_q2,distractor_q2,attn_check_3_q,attn_check_3_a,log_odds_3,correct_prob_q3,distractor_q3,attn_check_4_q,attn_check_4_a,log_odds_4,correct_prob_q4,distractor_q4,model_path,model_shorthand,stage,ingredient,step,tokens_seen
box,basket,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.","At the start of the story, Sean put the book in the",box,4.492916106788758,5.4499818361364305e-05,2.420430064375978e-06,"At the end of the story, the book was in the",basket,-1.136344407921291,1.8848846593755297e-05,4.1434159356867895e-05,The person who put the book in the box was,Sean,-1.6298451803683793,2.346470682823565e-05,7.26185244275257e-05,The person who moved the book to the basket was,Anna,2.018688270407714,5.688168675987981e-05,1.4037402252142783e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
cupboard,fridge,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.","At the start of the story, Mary put the jam in the",cupboard,0.23220823402349075,6.472429959103465e-06,5.510179107659496e-06,"At the end of the story, the jam was in the",fridge,1.3290724179047373,1.5023899322841316e-05,5.979873549222248e-06,The person who put the jam in the cupboard was,Mary,-0.1591514426305325,0.0001431032724212855,0.00015979343152139336,The person who moved the jam to the fridge was,James,1.2260726048207158,0.0002180843148380518,9.322659025201574e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
sink,basket,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.","At the start of the story, Cameron put the shirt in the",sink,0.039634496689322785,3.8143189158290625e-06,3.710956207214622e-06,"At the end of the story, the shirt was in the",basket,1.8190343375776579,1.0841647963388823e-05,3.072638037338038e-06,The person who put the shirt in the sink was,Cameron,0.32493697663736193,2.9807110877300147e-06,2.3796008008503122e-06,The person who moved the shirt to the basket was,Helen,-0.6964788851723394,1.8718926639849087e-06,3.0334858820424415e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
shed,garage,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.","At the start of the story, Paula put the football in the",shed,4.93389179191823,6.874753307783976e-05,2.249094450235134e-06,"At the end of the story, the football was in the",garage,-2.5522638728150535,9.814800250751432e-06,5.756910104537383e-05,The person who put the football in the shed was,Paula,-3.7852142925981997,4.476724370761076e-06,6.17196419625543e-05,The person who moved the football to the garage was,Tim,4.664978523277868,5.686698932549916e-05,2.2416188585339114e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
hall,study,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.","At the start of the story, Ed put the keys in the",hall,2.5679404468167455,2.6648194761946797e-05,4.494078893912956e-06,"At the end of the story, the keys were in the",study,0.8660357249018307,3.095143983955495e-05,1.6981581211439334e-05,The person who put the keys in the hall was,Ed,-1.9129906358367985,2.13613202504348e-06,8.044436981435865e-06,The person who moved the keys to the study was,Seana,4.315480862226711,1.1214809092052747e-05,5.632519446407969e-07,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
drawer,cabinet,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.","At the start of the story, Laura put the stapler in the",drawer,4.390218884715585,1.4084857866691891e-05,6.716838356624066e-07,"At the end of the story, the stapler was in the",cabinet,-3.7460393129807064,7.534197834502265e-07,1.0108977221534587e-05,The person who put the stapler in the drawer was,Laura,0.24439575639261105,1.1724484465958085e-05,9.897449672280345e-06,The person who moved the stapler to the cabinet was,Ross,2.491424622609194,2.2644213458988816e-05,4.026833721582079e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
garage,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.","At the start of the story, David put the wine in the",garage,1.1977931565861974,6.825499895057874e-06,2.9755194645986194e-06,"At the end of the story, the wine was in the",fridge,-1.5307364055944823,2.8655981623160187e-06,8.279666872113012e-06,The person who put the wine in the garage was,David,5.671517239657854,1.189739032270154e-05,2.3342904853507207e-07,The person who moved the wine to the fridge was,Marta,-5.631997081891624,2.493841577688727e-07,1.2367129784252029e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
hall,bedroom,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.","At the start of the story, Sarah put the painting in the",hall,6.914782601383745,2.4951335944933817e-05,2.0679347301211237e-07,"At the end of the story, the painting was in the",bedroom,-2.2451095994050614,3.444776893957169e-06,1.6330761354765855e-05,The person who put the painting in the hall was,Sarah,1.4849890657059228,3.5322584153618664e-05,1.2619037079275586e-05,The person who moved the painting to the bedroom was,James,1.4553516013092502,0.0001651082857279107,6.020941145834513e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
cupboard,drawer,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.","At the start of the story, Lisa put the grater in the",cupboard,-0.42853258596628085,4.277158495824551e-06,5.7564734561310615e-06,"At the end of the story, the grater was in the",drawer,2.718217499316728,1.1054816241085064e-05,1.6799119748611702e-06,The person who put the grater in the cupboard was,Lisa,-2.2520111137448255,5.13679606228834e-06,2.4468943593092263e-05,The person who moved the grater to the drawer was,Robert,4.091602078768962,3.4174594475189224e-05,2.0045108612976037e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
toolbox,van,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.","At the start of the story, John put the shovel in the",toolbox,2.119105574265066,2.060735278064385e-05,4.743597855849657e-06,"At the end of the story, the shovel was in the",van,1.4397396383188361,8.882616384653375e-06,3.2744328564149328e-06,The person who put the shovel in the toolbox was,John,-1.8835966322298263,1.2734175470541231e-05,4.6988319809315726e-05,The person who moved the shovel to the van was,Karen,2.671805479937545,5.045815123594366e-05,7.918405572127085e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,596000,5000B
