start,end,passage,attn_check_1_q,attn_check_1_a,log_odds_1,correct_prob_q1,distractor_q1,attn_check_2_q,attn_check_2_a,log_odds_2,correct_prob_q2,distractor_q2,attn_check_3_q,attn_check_3_a,log_odds_3,correct_prob_q3,distractor_q3,attn_check_4_q,attn_check_4_a,log_odds_4,correct_prob_q4,distractor_q4,model_path,model_shorthand,stage,ingredient,step,tokens_seen
box,basket,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book to the basket from the box. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book.","At the start of the story, Sean put the book in the",box,1.4127852798752214,2.2056383386370726e-05,8.284066097985487e-06,"At the end of the story, the book was in the",basket,0.16289496944201606,1.9794624677160755e-05,1.768116999301128e-05,The person who put the book in the box was,Sean,-4.3585026917901715,6.916416168678552e-06,0.0001418799947714433,The person who moved the book to the basket was,Anna,5.024856974830342,0.00013961589138489217,4.2884680624410976e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
cupboard,fridge,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam into the fridge after taking it out of the cupboard. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich.","At the start of the story, Mary put the jam in the",cupboard,1.701058296230072,6.7533374021877535e-06,2.077059207294951e-06,"At the end of the story, the jam was in the",fridge,0.2877792862613527,5.371593033487443e-06,4.4002049435221124e-06,The person who put the jam in the cupboard was,Mary,-1.224418748267488,7.951728912303224e-05,0.0001858011237345636,The person who moved the jam to the fridge was,James,2.2169981521820796,0.00021995435236021876,4.730963701149449e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
sink,basket,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt into the basket from the sink. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt.","At the start of the story, Cameron put the shirt in the",sink,-2.7329006696415123,5.158918156666914e-06,3.4296019293833524e-05,"At the end of the story, the shirt was in the",basket,4.492336841769183,5.5173542932607234e-05,2.4513353764632484e-06,The person who put the shirt in the sink was,Cameron,-0.11843551841812325,3.187280526617542e-06,3.45997477779747e-06,The person who moved the shirt to the basket was,Helen,0.027647841739710688,5.236806828179397e-06,5.137404059496475e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
shed,garage,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football into the garage after taking it out of the shed. Then Paula goes to run some errands. Paula gets back and wants to play catch again.","At the start of the story, Paula put the football in the",shed,2.010748372548408,7.460617780452594e-05,1.8513102986617014e-05,"At the end of the story, the football was in the",garage,-1.4751956551101493,1.304716533923056e-05,3.6273904697736725e-05,The person who put the football in the shed was,Paula,-4.024605947838013,1.24148227769183e-05,0.00020205408509355038,The person who moved the football to the garage was,Tim,3.3404313680768642,0.00019050008268095553,1.8807242668117397e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
hall,study,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys to the study from the hall. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys.","At the start of the story, Ed put the keys in the",hall,-0.3189040388794667,2.4021474018809386e-05,2.996396870003082e-05,"At the end of the story, the keys were in the",study,3.108556223876243,4.811766848433763e-05,5.578737273026491e-06,The person who put the keys in the hall was,Ed,-1.9596115799837492,1.6507954569533467e-05,6.420888530556113e-05,The person who moved the keys to the study was,Seana,2.481623038775395,8.54000318213366e-05,1.529026667412836e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
drawer,cabinet,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together.","At the start of the story, Laura put the stapler in the",drawer,5.366489059903282,4.7525209083687514e-05,1.1519930467329687e-06,"At the end of the story, the stapler was in the",cabinet,-3.1990299064286467,1.8713626559474505e-06,1.7185489923576824e-05,The person who put the stapler in the drawer was,Laura,-2.128098231908121,5.810459242638899e-06,2.539989145589061e-05,The person who moved the stapler to the cabinet was,Ross,2.4994363381993376,2.822695932991337e-05,4.9918185140995774e-06,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
garage,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.","At the start of the story, David put the wine in the",garage,2.5400807111254204,2.585665788501501e-05,4.445615559234284e-06,"At the end of the story, the wine was in the",fridge,-2.4599241962874507,6.678918907709885e-06,3.674659819807857e-05,The person who put the wine in the garage was,David,4.938070361367322,5.006915671401657e-05,1.63328877533786e-06,The person who moved the wine to the fridge was,Marta,-5.923700294013636,1.08800077214255e-06,6.604511145269498e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
hall,bedroom,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves it to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. When she gets back from reading, she goes inside to have a look at her painting. Meanwhile, James sees the painting and decides it would look better elsewhere. Sarah watches James move the painting to the bedroom from the hall.","At the start of the story, Sarah put the painting in the",hall,3.9434865464940745,3.753076452994719e-05,2.4393812054768205e-06,"At the end of the story, the painting was in the",bedroom,-0.4676565998264351,1.1099946277681738e-05,1.5349687600973994e-05,The person who put the painting in the hall was,Sarah,0.15561958038444726,4.803587216883898e-05,4.312404780648649e-05,The person who moved the painting to the bedroom was,James,2.3254256619680422,0.00015145496581681073,3.0217646781238727e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
cupboard,drawer,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, then comes back. She watches Robert move the grater to the drawer from the cupboard. Lisa comes back realizes she needs to use the grater again.","At the start of the story, Lisa put the grater in the",cupboard,-0.8866502807131392,7.596393061248818e-06,1.4044806448509917e-05,"At the end of the story, the grater was in the",drawer,1.4955899610505112,1.6860793039086275e-05,5.979440629744204e-06,The person who put the grater in the cupboard was,Lisa,-3.044819477591227,1.9232726117479615e-05,0.00015871677896939218,The person who moved the grater to the drawer was,Robert,3.594945146263424,0.00018238699703942984,1.5094111404323485e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
toolbox,van,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss, and comes back moments later. Then, Karen uses the shovel to tidy up some edges. When Karen is finished, John watches her put the shovel away in the van instead of the toolbox. However, John needs to use the shovel again.","At the start of the story, John put the shovel in the",toolbox,3.334023912904305,4.218707181280479e-05,4.183484634268098e-06,"At the end of the story, the shovel was in the",van,0.16047230250519023,2.1970728994347155e-05,1.9657916709547862e-05,The person who put the shovel in the toolbox was,John,1.9588371612058875,0.00017530522018205374,4.509476275416091e-05,The person who moved the shovel to the van was,Karen,-0.9988546941152502,4.462945071281865e-05,8.918806997826323e-05,allenai/OLMo-2-1124-13B,OLMO 2 13B,stage1,,81000,680B
